sep =,
pair count,test#,cost,time,total_branchings,path,errors,precise,cost,time,total_generated_paths,path,errors,data
2,1,, , ,"-","Internal error. Cannot run solution script or its output is incorrect",25, 733.00149503842,0.11513113975525,1,"0 2 4 1 3 0","","[[403,443,10,10,10,1],[350,219,10,10,10,1],[397,372],[417,299]]"
,,,,,,,50, 733.00149503842,0.12737703323364,1,"0 2 4 1 3 0","","[[403,443,10,10,10,1],[350,219,10,10,10,1],[397,372],[417,299]]"
,,,,,,,100, 733.00149503842,0.12652778625488,4,"0 2 4 1 3 0","","[[403,443,10,10,10,1],[350,219,10,10,10,1],[397,372],[417,299]]"
