

--------- 4 pairs --------

 Load area 100 x 100 x 100, weight capacity 500
pair count,test#,cost,time,total_branchings,path,errors,precise,cost,time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
,,,,,,,30, 2280325.8690579,4.413556098938,93,,"0 5 4 2 6 8 1 3 12 11 7 10 9 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


--------- 6 pairs --------

 Load area 100 x 100 x 100, weight capacity 500
pair count,test#,cost,time,total_branchings,path,errors,precise,cost,time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
6,1,, , ,"-","Internal error. Cannot run solution script or its output is incorrect. raw response is: <pre>",5, 2141002.5706306,0.21318888664246,1,,"0 4 2 5 1 11 10 7 6 3 12 9 8 0","","[[418505,253476,41,35,34,84],[417286,27148,18,20,11,44],[66864,414265,18,27,4,73],[61727,56064,6,14,42,3],[458343,17961,46,31,50,81],[108326,418519,17,31,43,95],[286582,492894],[54458,129592],[305517,465669],[417998,372380],[379933,258858],[120325,360651]]","12\1 418505 253476 41 35 34 84\2 417286 27148 18 20 11 44\3 66864 414265 18 27 4 73\4 61727 56064 6 14 42 3\5 458343 17961 46 31 50 81\6 108326 418519 17 31 43 95\7 286582 492894\8 54458 129592\9 305517 465669\10 417998 372380\11 379933 258858\12 120325 360651\depot 200 200"
,,,,,,,10, 2141002.5706306,0.13524317741394,1,,"0 4 2 5 1 11 10 7 6 3 12 9 8 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20, 2141002.5706306,0.13672208786011,1,,"0 4 2 5 1 11 10 7 6 3 12 9 8 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30, 2141002.5706306,2.1764760017395,61,,"0 4 2 5 1 11 10 7 6 3 12 9 8 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


--------- 5 pairs --------

 Load area 100 x 100 x 100, weight capacity 100
pair count,test#,cost,time,total_branchings,path,errors,precise,cost,time,total_generated_paths,cost_increase,path,errors,data,pdp_points.txt
5,1,, , ,"-","Internal error. Cannot run solution script or its output is incorrect. raw response is: <pre>",5, 2908508.2982438,1.7764570713043,1,,"0 3 5 8 10 1 6 4 9 2 7 0","","[[155766,332854,38,31,50,71],[439062,487489,35,8,21,52],[8590,97128,18,8,11,43],[159487,211870,40,43,44,70],[382702,177033,23,10,37,49],[348740,296660],[95899,478762],[496628,105939],[129426,435689],[93428,285894]]","10\1 155766 332854 38 31 50 71\2 439062 487489 35 8 21 52\3 8590 97128 18 8 11 43\4 159487 211870 40 43 44 70\5 382702 177033 23 10 37 49\6 348740 296660\7 95899 478762\8 496628 105939\9 129426 435689\10 93428 285894\depot 200 200"
,,,,,,,10, 2908508.2982438,0.24614405632019,1,,"0 3 5 8 10 1 6 4 9 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20, 2908508.2982438,0.263267993927,1,,"0 3 5 8 10 1 6 4 9 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30, 2908508.2982438,0.29092192649841,2,,"0 3 5 8 10 1 6 4 9 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,40, 2908508.2982438,0.31144881248474,3,,"0 3 5 8 10 1 6 4 9 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,50, 2698748.0930083,0.87472891807556,15,,"0 3 8 5 10 4 9 1 6 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60, 2698748.0930083,0.98293304443359,15,,"0 3 8 5 10 4 9 1 6 2 7 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,2469844.8936702, 491.87941598892, 7,"0 4 9 5 10 3 8 1 2 7 6 0","",5, 3000835.0421527,0.21314311027527,1,0.2149892691008,"0 3 1 8 2 7 6 5 10 4 9 0","","[[378559,399283,47,13,3,27],[327636,405240,34,4,39,47],[61894,186774,9,8,16,57],[364848,4701,4,30,22,85],[192349,297989,33,20,28,46],[107668,112236],[178247,142915],[499384,174658],[17502,327019],[79897,187003]]","10\1 378559 399283 47 13 3 27\2 327636 405240 34 4 39 47\3 61894 186774 9 8 16 57\4 364848 4701 4 30 22 85\5 192349 297989 33 20 28 46\6 107668 112236\7 178247 142915\8 499384 174658\9 17502 327019\10 79897 187003\depot 200 200"
,,,,,,,10, 3000835.0421527,0.2490119934082,1,0.2149892691008,"0 3 1 8 2 7 6 5 10 4 9 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,20, 3000835.0421527,0.23815202713013,1,0.2149892691008,"0 3 1 8 2 7 6 5 10 4 9 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,30, 2913065.6036256,0.41358089447021,2,0.17945285191443,"0 5 10 3 1 8 2 7 6 4 9 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,40, 2839147.3521332,0.55043911933899,3,0.14952455492629,"0 5 10 2 1 7 6 3 8 4 9 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,50, 2649794.6499505,0.91486716270447,11,0.072858727583048,"0 4 9 5 10 3 1 8 2 7 6 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60, 2649794.6499505,0.80763602256775,11,0.072858727583048,"0 4 9 5 10 3 1 8 2 7 6 0","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
